ID,Années,Mois,Jours,Start Date,End Date,Duration (Days),Pays,Région,Cercle,Commune,Quartier/Villages,#Ménages touchés,#Personnes affectées,#Ménages sinistrées,#Personnes sinistrées,#Personnes blessées,Personnes déplacées,#Personnes décedées,Sum personnes affectées,#Maisons endommagées,#Maisons detruites,#Ecole endommagées,#Ecole occupées,#Points d'eau endommagés,#Latrines détruites,# Magasins effondres,Vivres (T),Superficie Cultures (ha),Betails,Volailles,Sum maisons et services affectées,Hauteur pluie (mm),Autres dégâts,Alimentaires,Abris,Kits WASH,NFI,Autres réponses,Sum réponse,Organisations ayant apporté d'assistance,Besoins Non couverts,Column1,Source,Document initial,Tab document initial,Event Duration,Unnamed: 0,region (adm1),cercle (adm2),commune (adm3),year,month,date,source2,damage_livelihood,damage_general_local_curreny,people_affected,people_dead,houses_affected
75,2022,9,23,23/09/2022,24/09/2022,1,Mali,MOPTI,DJENNE,,Syn,423,,423,3570,,,0,3570,,1423,2,,2,850,,,1295,144,,3716,,"CSCOM, Ecoles, Medersa",,,,,,0,,,,OCHA,2022_ocha_mli_data_inondation_septembre-68,2022 Cercle Commune Village,1,,,,,,,,,,,,,
78,2022,9,23,23/09/2022,24/09/2022,1,Mali,MOPTI,BANDIAGARA,SANGHA,Diamini-Bouradono,,,,16,,,,16,,,,,,,,,,,,0,,,,,,,,0,,,,OCHA,2022_ocha_mli_data_inondation_septembre-71,2022 Cercle Commune Village,1,,,,,,,,,,,,,
76,2022,9,17,17/09/2022,18/09/2022,1,Mali,MOPTI,KORO,MADOUGOU,Tindji Ireli ,40,,40,280,,,0,280,,34,,,,,,,,,,34,,15 Greniers écroulés,,,,,,0,,,,OCHA,2022_ocha_mli_data_inondation_septembre-69,2022 Cercle Commune Village,1,,,,,,,,,,,,,
77,2022,9,17,17/09/2022,18/09/2022,1,Mali,MOPTI,KORO,BARAPIRELI,Tindji Neni ,54,,54,377,,,,377,,,,,,,,,269,,,269,,,,,,,,0,,,,OCHA,2022_ocha_mli_data_inondation_septembre-70,2022 Cercle Commune Village,1,,,,,,,,,,,,,
68,2022,9,15,15/09/2022,16/09/2022,1,Mali,SEGOU,BAROUELI,KALAKE,Kalale,33,,33,151,,,,151,,58,,,3,7,,,,,,68,,,,,,,,0,,,,OCHA,2022_ocha_mli_data_inondation_septembre-61,2022 Cercle Commune Village,1,,,,,,,,,,,,,
69,2022,9,15,15/09/2022,16/09/2022,1,Mali,SEGOU,BLA,YANGASSO,Yangasso,102,,102,1702,,,,1702,,,,,,,,,,,,0,,,,,,,,0,,,,OCHA,2022_ocha_mli_data_inondation_septembre-62,2022 Cercle Commune Village,1,,,,,,,,,,,,,
70,2022,9,10,10/09/2022,11/09/2022,1,Mali,SEGOU,SAN,SAN COMMUNE,Sibougou,119,,119,1007,,,,1007,,136,,,19,52,,,40,,,247,,,,,,,,0,,,,OCHA,2022_ocha_mli_data_inondation_septembre-63,2022 Cercle Commune Village,1,,,,,,,,,,,,,
51,2022,9,6,06/09/2022,07/09/2022,1,Mali,MOPTI,BANDIAGARA,SEGUE IRE,Tindji Ireli,54,,1037,280,,,,280,,34,,,,,,,,,,34,,,,,,,,0,,,,OCHA,2022_ocha_mli_data_inondation_septembre-44,2022 Cercle Commune Village,1,,,,,,,,,,,,,
52,2022,9,6,06/09/2022,07/09/2022,1,Mali,MOPTI,KORO,BARAPIRELI,Yaguem,68,,912,476,,,,476,,42,,,,,,,,,,42,,20 Greniers écroulés ,,,,,,0,,,,OCHA,2022_ocha_mli_data_inondation_septembre-45,2022 Cercle Commune Village,1,,,,,,,,,,,,,
53,2022,9,6,06/09/2022,07/09/2022,1,Mali,MOPTI,BANDIAGARA,BANDIAGARA COMMUNE,Anakada,96,,1709,673,,,,673,,65,,,,,,,,,,65,,,,,,,,0,,,,OCHA,2022_ocha_mli_data_inondation_septembre-46,2022 Cercle Commune Village,1,,,,,,,,,,,,,
